 
 ----------START O ISOTOPE CALCULATION----------
 
  Gross Primary Productivity FOR O2 CO2= 1.16E+14  1.16E+14 cm-2s-1
  TURN OFF Combinatorial Effect
  TURN ON Symmetry Effect
  HELLO WORLD
 H2OQ=    76739826583.0391     
 
  INITIAL MIXING RATIO OF ISOTOPIC SPECIES
 
Alt(km)  H2CQ     Q        H2Q      QH       HOQ      H2OQ     O2Q      OQO      CQ       CH3OQH  
   0.5   2.05E-10 4.99E-17 1.37E-02 6.66E-14 1.49E-11 3.20E-09 2.79E-08 1.40E-08 1.11E-07 1.27E-09
   1.5   2.13E-10 7.08E-17 8.91E-03 8.12E-14 1.51E-11 3.28E-09 3.41E-08 1.70E-08 9.90E-08 1.27E-09
   2.5   2.10E-10 1.04E-16 5.65E-03 9.86E-14 1.51E-11 3.21E-09 4.31E-08 2.16E-08 8.88E-08 1.18E-09
   3.5   1.98E-10 1.54E-16 3.35E-03 1.15E-13 1.46E-11 2.90E-09 5.45E-08 2.73E-08 8.00E-08 9.93E-10
   5.5   1.51E-10 3.10E-16 1.04E-03 1.44E-13 1.22E-11 1.94E-09 8.10E-08 4.05E-08 6.64E-08 5.60E-10
   7.5   9.06E-11 5.61E-16 2.86E-04 1.46E-13 8.89E-12 1.08E-09 1.07E-07 5.35E-08 5.70E-08 2.69E-10
   9.5   5.49E-11 9.67E-16 6.74E-05 1.61E-13 6.06E-12 5.38E-10 1.33E-07 6.66E-08 5.05E-08 1.11E-10
  11.5   3.03E-11 1.91E-15 1.22E-05 1.85E-13 3.17E-12 1.65E-10 1.87E-07 9.33E-08 4.23E-08 2.49E-11
  13.5   2.24E-11 7.48E-15 9.86E-06 1.96E-13 1.83E-12 2.79E-11 3.89E-07 1.95E-07 2.87E-08 4.72E-12
  15.5   1.84E-11 3.31E-14 1.00E-05 2.20E-13 1.43E-12 1.06E-11 9.15E-07 4.58E-07 1.73E-08 1.69E-12
  17.5   1.76E-11 1.26E-13 1.03E-05 2.95E-13 1.81E-12 1.17E-11 1.85E-06 9.25E-07 1.17E-08 1.28E-12
  19.5   1.91E-11 4.17E-13 1.06E-05 4.66E-13 3.04E-12 2.23E-11 3.23E-06 1.62E-06 9.44E-09 1.57E-12
  21.5   2.32E-11 1.26E-12 1.09E-05 8.37E-13 6.04E-12 5.76E-11 5.06E-06 2.53E-06 8.60E-09 2.67E-12
  23.5   3.01E-11 3.66E-12 1.12E-05 1.64E-12 1.31E-11 1.68E-10 7.41E-06 3.71E-06 8.30E-09 5.19E-12
  25.5   3.88E-11 1.02E-11 1.15E-05 3.34E-12 2.78E-11 4.45E-10 1.04E-05 5.19E-06 8.12E-09 9.16E-12
  27.5   4.83E-11 2.75E-11 1.19E-05 6.92E-12 5.51E-11 9.86E-10 1.39E-05 6.95E-06 7.90E-09 1.34E-11
  29.5   5.71E-11 7.11E-11 1.22E-05 1.45E-11 9.92E-11 1.72E-09 1.75E-05 8.75E-06 7.57E-09 1.57E-11
  31.5   6.26E-11 1.75E-10 1.25E-05 3.09E-11 1.59E-10 2.28E-09 2.02E-05 1.01E-05 7.09E-09 1.47E-11
  33.5   6.47E-11 4.12E-10 1.28E-05 6.48E-11 2.26E-10 2.27E-09 2.07E-05 1.04E-05 6.59E-09 1.15E-11
